vessel,orifice.diameter,base.diameter,neck.diameter,belly.diameter,height,rim.thickness,group
160836,5.99,3,5.16,16.4,18.5,0.7,phyto
160846,7.6,4,5.1,18.4,22.5,0.6,zoo
160848,2.52,3.5,3.2,14.8,17.2,0.3,anthro
160849,4.91,3.5,3.68,14.1,16.4,0.49,anthro
160852,4.37,3,5.39,17.9,22.2,0.48,anthro
160860,4.49,3,4.2,13.3,16.8,0.56,anthro
160873,4.32,2,5.83,18.3,23.2,0.54,anthro
160881,2.7,2.5,3.22,11.2,16,0.32,anthro
160882,6.8,3,5.1,25.4,18,0.63,zoo
160884,3.02,4,3.89,13.3,16.9,0.47,zoo
160886,6.64,3.5,3.84,26,17,0.86,zoo
160888,6.11,2,4.27,13.9,13.8,0.61,anthro
1608101,5.48,1.5,3.63,15.9,17.5,1.3,phyto
1608122,6.5,5.2,4.1,19.2,21.9,0.57,zoo
1608124,8.22,4.4,6.18,16.6,20,0.71,zoo
